"交通調査基本区間番号","世代管理番号（十の位）","世代管理番号（一の位）","道路種別","路線／路線番号","路線／路線名","起点側／接続区分","起点側／接続路線等／交通調査基本区間番号","起点側／接続路線等／世代管理番号（十の位）","起点側／接続路線等／路線名等","起点側／備考","終点側／接続区分","終点側／接続路線等／交通調査基本区間番号","終点側／接続路線等／世代管理番号（十の位）","終点側／接続路線等／路線名等","終点側／備考","現道旧道区分","管理区分","市区町村コード","自動車専用道路の別","区間種別","分離区間／分離区分","分離区間／交通調査基本区間番号","区間延長（ｋｍ）","高規格道路の別","一般国道指定区間","一方通行フラグ","平成２２年度／交通調査基本区間番号","交通量調査単位区間番号／都道府県指定市コード","交通量調査単位区間番号／調査単位区間番号","観測地点交通調査基本区間番号","交通量観測地点地名／市郡区町村丁字目","平成２７年度調査交通量観測・非観測の別","個別調査観測値活用の別","１２・２４時間観測の別","交通量観測年月日","昼間１２時間自動車類交通量（上下合計）／小型車（台）","昼間１２時間自動車類交通量（上下合計）／大型車（台）","昼間１２時間自動車類交通量（上下合計）／合計（台）","２４時間自動車類交通量（上下合計）／小型車（台）","２４時間自動車類交通量（上下合計）／大型車（台）","２４時間自動車類交通量（上下合計）／合計（台）","昼夜率","昼間１２時間ピーク比率（％）","昼間１２時間大型車混入率（％）","混雑度","平成２２年度／交通量調査／都道府県指定市コード","平成２２年度／交通量調査／調査単位区間番号","平成２２年度／昼間１２時間自動車類交通量（台）","平成２２年度／２４時間自動車類交通量（台）","旅行速度調査単位区間番号／都道府県指定市コード","旅行速度調査単位区間番号／調査単位区間番号","混雑時／上り／旅行速度計測・非計測の別","混雑時／上り／旅行速度（ｋｍ／ｈ）","混雑時／下り／旅行速度計測・非計測の別","混雑時／下り／旅行速度（ｋｍ／ｈ）","昼間非混雑時／上り／旅行速度計測・非計測の別","昼間非混雑時／上り／旅行速度（ｋｍ／ｈ）","昼間非混雑時／下り／旅行速度計測・非計測の別","昼間非混雑時／下り／旅行速度（ｋｍ／ｈ）","昼間１２時間平均旅行速度（時間帯別交通量加重）／上り（ｋｍ／ｈ）","昼間１２時間平均旅行速度（時間帯別交通量加重）／下り（ｋｍ／ｈ）","平成２２年度／旅行速度調査／都道府県指定市コード","平成２２年度／旅行速度調査／調査単位区間番号","平成２２年度／旅行速度／混雑時／上り（ｋｍ／ｈ）","平成２２年度／旅行速度／混雑時／下り（ｋｍ／ｈ）","平成２２年度／旅行速度／昼間非混雑時／上り（ｋｍ／ｈ）","平成２２年度／旅行速度／昼間非混雑時／下り（ｋｍ／ｈ）","道路状況調査単位区間番号／都道府県指定市コード","道路状況調査単位区間番号／調査単位区間番号","区間延長／改良済み区間率（％）","区間延長／５．５ｍ以上改良済み区間率（％）","幅員構成／道路部幅員（ｍ）","幅員構成／車道部幅員（ｍ）","幅員構成／車道幅員（ｍ）","幅員構成／中央帯幅員（ｍ）","幅員構成／歩道幅員／上り（ｍ）","幅員構成／歩道幅員／下り（ｍ）","幅員構成／自転車道幅員／上り（ｍ）","幅員構成／自転車道幅員／下り（ｍ）","幅員構成／停車帯等幅員／上り（ｍ）","幅員構成／停車帯等幅員／下り（ｍ）","車線数","交通安全施設等／歩道設置率（％）","交通安全施設等／自転車歩行者道設置率（％）","交通安全施設等／自転車道設置率（％）","交通安全施設等／自転車レーン設置率（％）","交通安全施設等／両側歩道設置率（％）","交通安全施設等／両側自転車歩行者道設置率（％）","交通安全施設等／両側自転車道設置率（％）","交通安全施設等／両側自転車レーン設置率（％）","交通安全施設等／歩道代表幅員（ｍ）","交通安全施設等／自転車道代表幅員（ｍ）","バス路線／バス路線延長率（％）","バス路線／バス優先・専用レーンの有無","交差点密度／信号交差点（箇所／ｋｍ）","交差点密度／信号のない交差点（箇所／ｋｍ）","代表信号交差点／青時間比（％）","代表信号交差点／右折専用車線の有無等","鉄道との平面交差箇所の有無","指定最高速度（ｋｍ／ｈ）","付加車線及び登坂車線設置箇所の有無／上り","付加車線及び登坂車線設置箇所の有無／下り","代表沿道状況","中央分離帯／中央分離帯の種類","中央分離帯／中央分離帯の設置状況","軌道の有無","自転車通行可能区分","異常気象時等通行規制区分","リバーシブルレーン運用の有無","アクセスコントロール","平成２２年度／道路状況調査／都道府県指定市コード","平成２２年度／道路状況調査／調査単位区間番号","交通調査基本区間番号","世代管理番号（十の位）","世代管理番号（一の位）","道路種別","路線／路線番号","路線／路線名"
"17303640010","0","0",3,364,"一般国道３６４号",3,"18303640130","0","一般国道３６４号","",2,"17601530010","0","一般県道我谷今立塔尾線","",1,2,17206,0,0,0,"","3.7",0,2,0,"17303640010",17000,11130,"17303640010","加賀市山中温泉我谷町",1,0,1,20151006,905,126,1031,1143,218,1361,"1.32","12.9","12.2",".22",17000,11080,752,970,17000,12700,1,"52.4",1,"51.4",1,"55.3",1,"56.4","54.5","55.2",17000,11910,40.6,40.6,40.6,40.6,17000,11660,100.0,100.0,11.75,10.00,"6.25",".00",.75,1.00,.00,.00,.00,.00,2,35.1,.0,.0,.0,35.1,.0,.0,.0,.75,.00,.0,3,.0,1.1,,,2,40,2,2,5,8,,4,2,2,2,3,17000,11380,"17303640010","0","0",3,364,"一般国道３６４号"
"17303640020","0","0",3,364,"一般国道３６４号",2,"17601530010","0","一般県道我谷今立塔尾線","",2,"17400390010","0","主要地方道山中伊切線","",1,2,17206,0,0,0,"","3.9",0,2,0,"17303640020",17000,11140,"17303640020","加賀市山中温泉上野町",1,0,1,20151006,2393,281,2674,2963,433,3396,"1.27","10.6","10.5",".46",17000,11090,2681,3458,17000,12710,1,"45.4",1,"43.1",1,"39.3",1,"45.1","40.9","44.5",17000,11920,39.9,39.9,39.9,39.9,17000,11670,100.0,92.3,8.50,6.50,"6.00",".00",2.00,.00,.00,.00,.00,.00,2,43.6,.0,.0,.0,.0,.0,.0,.0,2.00,.00,41.0,3,.5,3.3,,,2,40,2,2,5,8,,4,2,4,2,4,17000,11390,"17303640020","0","0",3,364,"一般国道３６４号"
"17303640030","0","0",3,364,"一般国道３６４号",2,"17400390010","0","主要地方道山中伊切線","",1,"17400110170","0","主要地方道小松山中線","",1,2,17206,0,0,0,"","2.2",0,2,0,"17303640030",17000,11150,"17303640030","加賀市山中温泉塚谷町",1,0,1,20151006,4607,431,5038,5730,1122,6852,"1.36","9.9","8.6",".53",17000,11100,4935,6169,17000,12720,1,"42.2",1,"37.6",1,"38.0",1,"40.7","39.4","39.5",17000,11930,37.0,37.0,37.0,37.0,17000,11680,100.0,94.8,14.50,10.00,"8.00",".00",2.25,2.25,.00,.00,.00,.00,2,69.0,.0,.0,.0,20.7,.0,.0,.0,2.25,.00,58.6,3,2.2,7.4,,,2,40,2,2,3,8,,4,2,1,2,4,17000,11400,"17303640030","0","0",3,364,"一般国道３６４号"
"17303640040","0","0",3,364,"一般国道３６４号",1,"17400110170","0","主要地方道小松山中線","",2,"17601420010","0","一般県道荒木田原町線","",1,2,17206,0,0,0,"","3.6",0,2,0,"17303640040",17000,11150,"17303640030","加賀市山中温泉塚谷町",1,0,1,20151006,4607,431,5038,5730,1122,6852,"1.36","9.9","8.6",".53",17000,11100,4935,6169,17000,12730,1,"33.3",1,"38.3",1,"33.6",1,"36.6","33.5","37.2",17000,11930,37.0,37.0,37.0,37.0,17000,11680,100.0,94.8,14.50,10.00,"8.00",".00",2.25,2.25,.00,.00,.00,.00,2,69.0,.0,.0,.0,20.7,.0,.0,.0,2.25,.00,58.6,3,2.2,7.4,,,2,40,2,2,3,8,,4,2,1,2,4,17000,11400,"17303640040","0","0",3,364,"一般国道３６４号"
"17303640050","0","0",3,364,"一般国道３６４号",2,"17601420010","0","一般県道荒木田原町線","",1,"17601510030","0","一般県道水田丸黒瀬線","",1,2,17206,0,0,0,"","1.2",0,2,0,"17303640050",17000,11160,"17303640050","加賀市黒瀬町",1,0,1,20151006,6286,426,6712,7863,1131,8994,"1.34","11.5","6.3",".69",17000,11110,7449,9311,17000,12740,1,"51.4",1,"42.6",1,"51.4",1,"40.4","51.4","41.3",17000,11940,41.1,41.1,41.1,41.1,17000,11690,100.0,100.0,15.50,9.75,"6.75",".00",2.00,3.75,.00,.00,.00,1.00,2,76.2,76.2,.0,.0,4.8,.0,.0,.0,3.00,.00,100.0,3,1.0,12.9,,,2,50,2,2,4,8,,4,1,1,2,4,17000,11410,"17303640050","0","0",3,364,"一般国道３６４号"
"17303640060","0","1",3,364,"一般国道３６４号",1,"17601510030","0","一般県道水田丸黒瀬線","",1,"17300080670","1","一般国道８号","",1,2,17206,0,0,0,"",".9",0,2,0,"17303640060",17000,11160,"17303640050","加賀市黒瀬町",1,0,1,20151006,6286,426,6712,7863,1131,8994,"1.34","11.5","6.3",".69",17000,11110,7449,9311,17000,12750,1,"39.2",1,"26.5",1,"40.2",1,"32.0","39.8","29.4",17000,11940,41.1,41.1,41.1,41.1,17000,11690,100.0,100.0,15.50,9.75,"6.75",".00",2.00,3.75,.00,.00,.00,1.00,2,76.2,76.2,.0,.0,4.8,.0,.0,.0,3.00,.00,100.0,3,1.0,12.9,,,2,50,2,2,4,8,,4,1,1,2,4,17000,11410,"17303640060","0","1",3,364,"一般国道３６４号"
"17304150030","0","1",3,415,"一般国道４１５号",1,"17301590150","0","一般国道１５９号","",1,"17603050040","0","一般県道所司原神子原線","",1,2,17207,0,0,0,"","4.9",0,2,0,"17304150030",17000,11170,"17304150030","羽咋市宇士野町",1,0,1,20151006,3201,373,3574,3977,776,4753,"1.33","9.6","10.4",".63",17000,11140,4336,5593,17000,12760,1,"52.5",1,"51.4",1,"49.4",1,"47.9","50.4","48.9",17000,11970,49.1,53.0,50.7,51.9,17000,11700,100.0,89.8,9.00,7.50,"6.00",".00",.00,1.50,.00,.00,.00,.00,2,61.2,61.2,.0,.0,.0,.0,.0,.0,1.50,.00,100.0,3,.2,8.4,,,2,50,2,2,5,8,,4,2,4,2,4,17000,11430,"17304150030","0","1",3,415,"一般国道４１５号"
"17304150040","0","1",3,415,"一般国道４１５号",1,"17603050040","0","一般県道所司原神子原線","",3,"16304150005","0","一般国道４１５号","",1,2,17207,0,0,0,"","2.0",0,2,0,"17304150040",17000,11170,"17304150030","羽咋市宇士野町",1,0,1,20151006,3201,373,3574,3977,776,4753,"1.33","9.6","10.4",".62",17000,11140,4336,5593,17000,12770,1,"38.4",1,"41.4",1,"44.2",1,"41.7","42.1","41.6",17000,11970,49.1,53.0,50.7,51.9,17000,11710,100.0,100.0,7.50,7.50,"6.00",".00",.00,.00,.00,.00,.00,.00,2,.0,.0,.0,.0,.0,.0,.0,.0,.00,.00,.0,3,.0,.5,,,2,50,2,2,5,7,,4,2,4,2,4,17000,11430,"17304150040","0","1",3,415,"一般国道４１５号"
"17304150060","0","0",3,415,"一般国道４１５号",1,"17302490690","0","一般国道２４９号","",6,"","","羽咋市・宝達志水町境","",1,2,17207,0,0,0,"","1.9",0,2,0,"17304150060",17000,11180,"17304150060","羽咋市土橋町",1,0,1,20151006,7594,851,8445,9543,1942,11485,"1.36","11.1","10.1",".75",17000,11150,5648,7060,17000,12780,1,"35.2",1,"36.8",1,"37.0",1,"41.7","36.3","39.7",17000,11980,44.0,44.0,44.0,44.0,17000,11720,100.0,100.0,18.00,11.00,"7.00",".00",3.50,3.50,.00,.00,.00,.00,2,100.0,100.0,.0,.0,8.1,8.1,.0,.0,3.50,.00,.0,3,.8,2.7,,,2,50,2,2,4,8,,4,1,1,2,4,17000,11440,"17304150060","0","0",3,415,"一般国道４１５号"
"17304150070","0","0",3,415,"一般国道４１５号",6,"","","羽咋市・宝達志水町境","",6,"","","宝達志水町・羽咋市境","",1,2,17386,0,0,0,"",".3",0,2,0,"17304150070",17000,11180,"17304150060","羽咋市土橋町",1,0,1,20151006,7594,851,8445,9543,1942,11485,"1.36","11.1","10.1",".75",17000,11150,5648,7060,17000,12790,1,"44.7",1,"51.9",1,"46.9",1,"50.9","46.0","51.3",17000,11980,44.0,44.0,44.0,44.0,17000,11720,100.0,100.0,18.00,11.00,"7.00",".00",3.50,3.50,.00,.00,.00,.00,2,100.0,100.0,.0,.0,8.1,8.1,.0,.0,3.50,.00,.0,3,.8,2.7,,,2,50,2,2,4,8,,4,1,1,2,4,17000,11440,"17304150070","0","0",3,415,"一般国道４１５号"
"17304150080","0","0",3,415,"一般国道４１５号",6,"","","宝達志水町・羽咋市境","",1,"17301590170","0","一般国道１５９号","",1,2,17207,0,0,0,"","1.5",0,2,0,"17304150080",17000,11180,"17304150060","羽咋市土橋町",1,0,1,20151006,7594,851,8445,9543,1942,11485,"1.36","11.1","10.1",".75",17000,11150,5648,7060,17000,12800,1,"46.1",1,"24.2",1,"43.4",1,"27.2","44.4","26.0",17000,11980,44.0,44.0,44.0,44.0,17000,11720,100.0,100.0,18.00,11.00,"7.00",".00",3.50,3.50,.00,.00,.00,.00,2,100.0,100.0,.0,.0,8.1,8.1,.0,.0,3.50,.00,.0,3,.8,2.7,,,2,50,2,2,4,8,,4,1,1,2,4,17000,11440,"17304150080","0","0",3,415,"一般国道４１５号"
"17304160010","0","0",3,416,"一般国道４１６号",3,"18304160270","0","一般国道４１６号","",2,"17400430010","0","主要地方道丸山加賀線","",1,2,17203,0,6,0,"","11.6",0,2,0,"17304160010",17000,11190,"17304160030","小松市尾小屋町",1,0,1,20151006,60,0,60,74,5,79,"1.32","15.0",".0",".06",17000,11160,92,119,17000,12810,3,"36.5",3,"36.5",3,"36.5",3,"36.5","36.5","36.5",17000,11990,36.5,36.5,36.5,36.5,17000,11730,32.8,18.4,4.50,4.50,"3.50",".00",.00,.00,.00,.00,.00,.00,1,.5,.0,.0,.0,.0,.0,.0,.0,2.00,.00,.0,3,.0,.8,,,2,30,2,2,5,8,,4,2,8,2,4,17000,11450,"17304160010","0","0",3,416,"一般国道４１６号"
"17304160020","0","0",3,416,"一般国道４１６号",2,"17400430010","0","主要地方道丸山加賀線","",2,"17400440010","0","主要地方道小松鳥越鶴来線","",1,2,17203,0,0,0,"","2.3",0,2,0,"17304160020",17000,11190,"17304160030","小松市尾小屋町",1,0,1,20151006,60,0,60,74,5,79,"1.32","15.0",".0",".06",17000,11160,92,119,17000,12810,3,"36.5",3,"36.5",3,"36.5",3,"36.5","36.5","36.5",17000,11990,36.5,36.5,36.5,36.5,17000,11730,32.8,18.4,4.50,4.50,"3.50",".00",.00,.00,.00,.00,.00,.00,1,.5,.0,.0,.0,.0,.0,.0,.0,2.00,.00,.0,3,.0,.8,,,2,30,2,2,5,8,,4,2,8,2,4,17000,11450,"17304160020","0","0",3,416,"一般国道４１６号"
"17304160030","0","0",3,416,"一般国道４１６号",2,"17400440010","0","主要地方道小松鳥越鶴来線","",2,"17601600010","0","一般県道尾小屋尾小屋停車場線","",1,2,17203,0,0,0,"","6.2",0,2,0,"17304160030",17000,11190,"17304160030","小松市尾小屋町",1,0,1,20151006,60,0,60,74,5,79,"1.32","15.0",".0",".06",17000,11160,92,119,17000,12810,2,"24.0",2,"24.0",2,"24.0",1,"24.0","24.0","24.0",17000,11990,36.5,36.5,36.5,36.5,17000,11730,32.8,18.4,4.50,4.50,"3.50",".00",.00,.00,.00,.00,.00,.00,1,.5,.0,.0,.0,.0,.0,.0,.0,2.00,.00,.0,3,.0,.8,,,2,30,2,2,5,8,,4,2,8,2,4,17000,11450,"17304160030","0","0",3,416,"一般国道４１６号"
"17304160040","0","0",3,416,"一般国道４１６号",2,"17601600010","0","一般県道尾小屋尾小屋停車場線","",1,"17601090020","0","一般県道阿手尾小屋線","",1,2,17203,0,0,0,"","2.0",0,2,0,"17304160040",17000,11200,"17304160060","小松市金平町",1,0,1,20151006,2023,198,2221,2404,306,2710,"1.22","11.3","8.9",".35",17000,11170,1879,2424,17000,12820,2,"54.5",1,"54.5",1,"51.6",1,"58.3","52.7","56.8",17000,12000,49.5,49.5,49.5,49.5,17000,11740,100.0,97.9,16.00,10.25,"6.75",".00",3.00,2.75,.00,.00,.00,.00,2,96.9,.0,.0,.0,4.1,.0,.0,.0,2.75,.00,74.2,3,.2,4.3,,,2,50,2,2,5,8,,4,2,6,2,4,17000,11460,"17304160040","0","0",3,416,"一般国道４１６号"
"17304160050","0","0",3,416,"一般国道４１６号",1,"17601090020","0","一般県道阿手尾小屋線","",2,"17601670010","0","一般県道布橋出合線","",1,2,17203,0,0,0,"","4.1",0,2,0,"17304160050",17000,11200,"17304160060","小松市金平町",1,0,1,20151006,2023,198,2221,2404,306,2710,"1.22","11.3","8.9",".35",17000,11170,1879,2424,17000,12820,1,"54.2",1,"61.7",1,"53.5",1,"62.4","53.8","62.1",17000,12000,49.5,49.5,49.5,49.5,17000,11740,100.0,97.9,16.00,10.25,"6.75",".00",3.00,2.75,.00,.00,.00,.00,2,96.9,.0,.0,.0,4.1,.0,.0,.0,2.75,.00,74.2,3,.2,4.3,,,2,50,2,2,5,8,,4,2,6,2,4,17000,11460,"17304160050","0","0",3,416,"一般国道４１６号"
"17304160060","0","0",3,416,"一般国道４１６号",2,"17601670010","0","一般県道布橋出合線","",2,"17601650010","0","一般県道金平寺井線","",1,2,17203,0,0,0,"","2.9",0,2,0,"17304160060",17000,11200,"17304160060","小松市金平町",1,0,1,20151006,2023,198,2221,2404,306,2710,"1.22","11.3","8.9",".35",17000,11170,1879,2424,17000,12820,1,"50.9",1,"52.7",1,"57.5",1,"58.3","54.7","56.1",17000,12000,49.5,49.5,49.5,49.5,17000,11740,100.0,97.9,16.00,10.25,"6.75",".00",3.00,2.75,.00,.00,.00,.00,2,96.9,.0,.0,.0,4.1,.0,.0,.0,2.75,.00,74.2,3,.2,4.3,,,2,50,2,2,5,8,,4,2,6,2,4,17000,11460,"17304160060","0","0",3,416,"一般国道４１６号"
"17304160070","0","0",3,416,"一般国道４１６号",2,"17601650010","0","一般県道金平寺井線","",1,"17601610020","0","一般県道大杉長谷線","",1,2,17203,0,0,0,"",".7",0,2,0,"17304160070",17000,11200,"17304160060","小松市金平町",1,0,1,20151006,2023,198,2221,2404,306,2710,"1.22","11.3","8.9",".35",17000,11170,1879,2424,17000,12820,1,"49.8",1,"52.7",1,"53.3",1,"56.3","51.9","54.9",17000,12000,49.5,49.5,49.5,49.5,17000,11740,100.0,97.9,16.00,10.25,"6.75",".00",3.00,2.75,.00,.00,.00,.00,2,96.9,.0,.0,.0,4.1,.0,.0,.0,2.75,.00,74.2,3,.2,4.3,,,2,50,2,2,5,8,,4,2,6,2,4,17000,11460,"17304160070","0","0",3,416,"一般国道４１６号"
"17304160080","0","0",3,416,"一般国道４１６号",1,"17601610020","0","一般県道大杉長谷線","",1,"17300080570","0","一般国道８号","",1,2,17203,0,0,0,"","2.3",0,2,0,"17304160080",17000,11210,"17304160080","小松市東山町",1,0,1,20151006,4970,366,5336,6174,1083,7257,"1.36","11.6","6.9",".60",17000,11180,4961,6400,17000,12830,1,"53.8",1,"51.4",1,"54.2",1,"52.3","54.0","51.9",17000,12010,54.6,52.0,57.5,47.5,17000,11750,100.0,100.0,15.25,9.50,"6.50",".00",2.75,3.00,.00,.00,.00,.00,2,100.0,100.0,.0,.0,4.3,.0,.0,.0,2.75,.00,60.9,3,.9,2.2,,,2,50,2,2,5,8,,4,1,1,2,4,17000,11470,"17304160080","0","0",3,416,"一般国道４１６号"
"17304700010","0","0",3,470,"一般国道４７０号",2,"17400010090","0","主要地方道七尾輪島線","徳田大津IC",6,"","","七尾市・志賀町境","",1,2,17202,1,0,0,"",".5",1,2,0,"17304700010",17000,11220,"17304700010","七尾市高田町",1,0,2,20151006,7491,707,8198,8938,818,9756,"1.19","11.6","8.6",".43",17000,11190,2392,2759,17000,12840,1,"81.4",1,"82.3",1,"87.5",1,"81.2","85.0","81.6",17000,12020,78.6,84.2,76.0,80.9,17000,11760,100.0,100.0,13.00,11.00,"7.00",".00",.00,.00,.00,.00,.00,.00,2,.0,.0,.0,.0,.0,.0,.0,.0,.00,.00,.0,3,.0,.0,,,2,70,2,2,5,8,,4,2,1,2,1,17000,11480,"17304700010","0","0",3,470,"一般国道４７０号"
"17304700020","0","0",3,470,"一般国道４７０号",6,"","","七尾市・志賀町境","",1,"17400600330","0","主要地方道金沢田鶴浜線","徳田大津JCT",1,2,17384,1,0,0,"",".8",1,2,0,"17304700020",17000,11220,"17304700010","七尾市高田町",1,0,2,20151006,7491,707,8198,8938,818,9756,"1.19","11.6","8.6",".43",17000,11190,2392,2759,17000,12850,1,"80.0",1,"81.9",1,"87.6",1,"82.6","84.5","82.3",17000,12020,78.6,84.2,76.0,80.9,17000,11760,100.0,100.0,13.00,11.00,"7.00",".00",.00,.00,.00,.00,.00,.00,2,.0,.0,.0,.0,.0,.0,.0,.0,.00,.00,.0,3,.0,.0,,,2,70,2,2,5,8,,4,2,1,2,1,17000,11480,"17304700020","0","0",3,470,"一般国道４７０号"
"17304700030","0","0",3,470,"一般国道４７０号",1,"17400600330","0","主要地方道金沢田鶴浜線","徳田大津JCT",6,"","","志賀町・七尾市境","",1,2,17384,1,0,0,"",".5",1,2,0,"17304700030",17000,11220,"17304700010","七尾市高田町",1,0,2,20151006,7491,707,8198,8938,818,9756,"1.19","11.6","8.6",".43",17000,11190,2392,2759,17000,12860,1,"87.3",1,"83.4",1,"87.7",1,"85.0","87.5","84.4",17000,12020,78.6,84.2,76.0,80.9,17000,11760,100.0,100.0,13.00,11.00,"7.00",".00",.00,.00,.00,.00,.00,.00,2,.0,.0,.0,.0,.0,.0,.0,.0,.00,.00,.0,3,.0,.0,,,2,70,2,2,5,8,,4,2,1,2,1,17000,11480,"17304700030","0","0",3,470,"一般国道４７０号"
"17304700040","0","0",3,470,"一般国道４７０号",6,"","","志賀町・七尾市境","",4,"17302490770","0","一般国道２４９号","田鶴浜IC",1,2,17202,1,0,0,"","4.5",1,2,0,"17304700040",17000,11220,"17304700010","七尾市高田町",1,0,2,20151006,7491,707,8198,8938,818,9756,"1.19","11.6","8.6",".43",17000,11190,2392,2759,17000,12870,1,"70.0",1,"75.2",1,"69.4",1,"76.2","69.6","75.8",17000,12020,78.6,84.2,76.0,80.9,17000,11760,100.0,100.0,13.00,11.00,"7.00",".00",.00,.00,.00,.00,.00,.00,2,.0,.0,.0,.0,.0,.0,.0,.0,.00,.00,.0,3,.0,.0,,,2,70,2,2,5,8,,4,2,1,2,1,17000,11480,"17304700040","0","0",3,470,"一般国道４７０号"
"17304700060","0","0",3,470,"一般国道４７０号",1,"17400010200","0","主要地方道七尾輪島線","穴水IC",6,"","","穴水町・輪島市境","",1,1,17461,1,0,0,"","6.4",1,1,0,"17304700060",17000,11230,"17304700060","鳳珠郡穴水町川島",1,0,2,20151006,4204,790,4994,4930,939,5869,"1.18","10.0","15.8",".65",17000,11200,3436,4244,17000,12880,1,"82.4",1,"77.3",1,"79.4",1,"78.4","80.4","78.1",17000,12030,82.7,74.5,82.1,76.9,17000,11770,100.0,100.0,14.40,14.40,"7.00","2.20",.00,.00,.00,.00,.00,.00,2,.0,.0,.0,.0,.0,.0,.0,.0,.00,.00,.0,3,.0,.0,,,2,80,2,2,5,6,,4,2,1,2,1,17000,11490,"17304700060","0","0",3,470,"一般国道４７０号"
"17304700070","0","0",3,470,"一般国道４７０号",6,"","","穴水町・輪島市境","",1,"17603030050","0","一般県道柏木穴水線","能登空港IC",1,1,17204,1,0,0,"",".3",1,1,0,"17304700070",17000,11230,"17304700060","鳳珠郡穴水町川島",1,0,2,20151006,4204,790,4994,4930,939,5869,"1.18","10.0","15.8",".65",17000,11200,3436,4244,17000,12880,1,"53.4",1,"29.4",1,"56.0",1,"29.1","55.1","29.2",17000,12030,82.7,74.5,82.1,76.9,17000,11780,100.0,100.0,14.40,14.40,"7.00","2.20",.00,.00,.00,.00,.00,.00,2,.0,.0,.0,.0,.0,.0,.0,.0,.00,.00,.0,3,.0,.0,,,2,60,2,2,5,6,,4,2,1,2,1,17000,11490,"17304700070","0","0",3,470,"一般国道４７０号"
"17304700090","0","0",3,470,"一般国道４７０号（能越自動車道）",1,"17301590510","0","一般国道１５９号","",1,"17804050010","0","市道矢田郷４０５号線","市道矢田郷４０５号線",1,1,17202,1,0,0,"","3.2",1,1,0,"",17000,11240,"17304700090","七尾市千野町",1,0,2,20151007,793,204,997,930,265,1195,"1.20","11.7","20.5",".14",,,,,17000,12890,1,"67.9",1,"78.2",1,"68.4",1,"75.1","68.3","76.0",,,,,,,17000,11790,100.0,100.0,12.00,12.00,"7.00",".00",.00,.00,.00,.00,.00,.00,2,.0,.0,.0,.0,.0,.0,.0,.0,.00,.00,.0,3,.0,.0,,,2,80,2,2,4,6,,4,2,1,2,1,,,"17304700090","0","0",3,470,"一般国道４７０号（能越自動車道）"
"17304700100","0","1",3,470,"一般国道４７０号（能越自動車道）",1,"17804050010","0","市道矢田郷４０５号線","市道矢田郷４０５号線",1,"17301600055","0","一般国道１６０号","",1,1,17202,1,0,0,"","9.2",1,1,0,"",17000,11250,"17304700100","七尾市麻生",1,0,2,20151006,2773,726,3499,3373,902,4275,"1.22","9.5","20.7",".55",,,,,17000,12900,1,"71.0",1,"80.5",1,"74.1",1,"77.9","73.0","78.7",,,,,,,17000,11800,64.4,64.4,12.00,12.00,"7.00",".00",.00,.00,.00,.00,.00,.00,2,.0,.0,.0,.0,.0,.0,.0,.0,.00,.00,64.4,3,.0,.0,,,2,80,2,2,5,6,,4,2,1,2,1,,,"17304700100","0","1",3,470,"一般国道４７０号（能越自動車道）"
"17304700110","0","0",3,470,"一般国道４７０号（能越自動車道）",1,"17301600055","0","一般国道１６０号","",3,"16304700130","0","一般国道４７０号（能越自動車道）","",1,1,17202,1,0,0,"","1.2",1,1,0,"",17000,11250,"17304700100","七尾市麻生",1,0,2,20151006,2773,726,3499,3373,902,4275,"1.22","9.5","20.7",".55",,,,,17000,12910,1,"74.6",1,"77.6",1,"68.4",1,"72.3","70.4","73.9",,,,,,,17000,11800,64.4,64.4,12.00,12.00,"7.00",".00",.00,.00,.00,.00,.00,.00,2,.0,.0,.0,.0,.0,.0,.0,.0,.00,.00,64.4,3,.0,.0,,,2,80,2,2,5,6,,4,2,1,2,1,,,"17304700110","0","0",3,470,"一般国道４７０号（能越自動車道）"
"17304710010","0","1",3,471,"一般国道４７１号",1,"17302490720","0","一般国道２４９号","",1,"17301590210","0","一般国道１５９号","",1,2,17386,0,0,0,"","1.1",0,2,0,"17304710010",17000,11260,"","",2,0,0,,983,62,1045,1224,155,1379,"1.32","12.5","5.9",".16",17000,11210,1078,1348,17000,12920,1,"39.4",1,"44.3",1,"41.7",1,"46.3","40.8","45.5",17000,12040,48.5,51.4,48.5,51.4,17000,11810,100.0,100.0,11.00,8.00,"6.00",".00",3.00,.00,.00,.00,.00,.00,2,70.8,29.2,.0,.0,.0,.0,.0,.0,3.00,.00,.0,3,.4,5.8,,,1,50,2,2,4,7,,4,2,1,2,4,17000,11500,"17304710010","0","1",3,471,"一般国道４７１号"
"17304710160","0","0",3,471,"一般国道４７１号",1,"17301590225","0","一般国道１５９号","",2,"17304710025","0","主要地方道押水福岡線","",1,2,17386,0,0,0,"","1.4",0,2,0,"",17000,11300,"","",,,,,,,,,,,"","","","",,,,,17000,12950,1,"40.5",1,"45.9",1,"38.4",1,"44.4","39.1","44.9",,,,,,,17000,11880,100.0,100.0,10.00,7.00,"5.50",".00",.00,.00,.00,.00,.00,.00,2,.0,.0,.0,.0,.0,.0,.0,.0,.00,.00,.0,3,.0,7.1,,,2,40,2,2,4,8,,4,2,1,2,4,,,"17304710160","0","0",3,471,"一般国道４７１号"
